Ensembl Gene ID	Gene Symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC	Top correlated gene
ENSG00000249173	LINC01093	3.44952039403825	0.029657615893288	LPS_vs_Control-Unstimulated	HSALNG0039055	integenic	Q50	hsa-miR-619-5p,hsa-miR-4505,hsa-miR-6808-5p,hsa-miR-6769b-5p	NA	ACSL1	ACOD1
ENSG00000226137	BAIAP2-DT	-2.29914564033079	0.00602758607340638	LPS_vs_Control-Unstimulated	HSALNG0119226	integenic	Not conserved	hsa-miR-3943	-	AATK	RAB3D
ENSG00000262097	LINC02185	-7.16324259789978	1.1382980390578e-4	LPS_vs_Control-Unstimulated	HSALNG0109713	integenic	Q50	hsa-miR-645,hsa-miR-4330,hsa-miR-4453	-	PARN	CPED1
ENSG00000225173	ENSG00000225173	4.00316936278481	8.6242868963445e-4	LPS_vs_Control-Unstimulated	HSALNG0049009	integenic	Not conserved	hsa-miR-1268b,hsa-miR-6089	NA	TRIM27	C6orf62
ENSG00000225431	LINC01671	6.78174244465845	3.28377577495705e-9	LPS_vs_Control-Unstimulated	HSALNG0133326	anti_sense	Q75	hsa-miR-4717-3p,hsa-miR-5587-3p	Posterior cingulate cortex volume measurement,-	RSPH1	TRIM38
ENSG00000287181	ENSG00000287181	3.66560829810866	3.16232506746239e-5	LPS_vs_Control-Unstimulated	HSALNG0035751	integenic	Not conserved	hsa-miR-30b-3p,hsa-miR-665	NA	PPM1K	SMG7
ENSG00000225889	ENSG00000225889	2.38305168670973	0.00833906730604906	LPS_vs_Control-Unstimulated	HSALNG0146116	integenic	Not conserved	NA	NA	LGALSL	CD80
ENSG00000288754	ENSG00000288754	-4.06004494660563	0.034218569515633	LPS_vs_Control-Unstimulated	HSALNG0136023	integenic	Q50	hsa-miR-3620-5p,hsa-miR-1268b,hsa-miR-4437,hsa-miR-4505,hsa-miR-1587,hsa-miR-6131	Ocular sarcoidosis,Adolescent idiopathic scoliosis,-	GRAMD4	EEPD1
ENSG00000286978	ENSG00000286978	2.51953676944763	0.0484134802487717	LPS_vs_Control-Unstimulated	HSALNG0035752	integenic	Not conserved	hsa-miR-92a-2-5p,hsa-miR-298	NA	PPM1K	HELB
ENSG00000282851	BISPR	1.51535338048596	1.3077699180218e-4	LPS_vs_Control-Unstimulated	HSALNG0124521	sense	Not conserved	hsa-miR-6775-3p	Blood phosphate measurement,-	MVB12A	XAF1
ENSG00000269970	ENSG00000269970	-5.78554729624731	0.0119863377483008	LPS_vs_Control-Unstimulated	HSALNG0074238	sense	Not conserved	NA	NA	PTGS1	SORT1
ENSG00000224789	ENSG00000224789	3.24626681346393	0.00580397781255145	LPS_vs_Control-Unstimulated	HSALNG0018360	anti_sense,sense	Q75	NA	Serum albumin measurement,Glucuronate measurement,Glomerular filtration rate,-	TMEM185B	TRAFD1
ENSG00000224307	LINC02975	-7.63153067391919	0.00215596128419887	LPS_vs_Control-Unstimulated	HSALNG0074715	integenic	Not conserved	hsa-miR-520a-5p,hsa-miR-4492,hsa-miR-4684-3p,hsa-miR-4748,hsa-miR-5693	NA	NA	CD36
ENSG00000277511	ENSG00000277511	2.43329431597036	5.6446531705976e-4	LPS_vs_Control-Unstimulated	HSALNG0115754	integenic	Not conserved	hsa-miR-6089,hsa-miR-7847-3p	-	RHOT1	SP110
ENSG00000287733	ENSG00000287733	1.97238949577935	0.00252988463991961	LPS_vs_Control-Unstimulated	HSALNG0061536	integenic	Not conserved	hsa-miR-4761-3p	Monocyte count	TMEM140	HERC6
ENSG00000280007	ENSG00000280007	2.32918073112917	0.0247565652827654	LPS_vs_Control-Unstimulated	HSALNG0133953	anti_sense	Not conserved	hsa-miR-619-5p	Atrial fibrillation,T-tau measurement,Carotid plaque build,-,Mean platelet volume	MICAL3	RERE
