Ensembl Gene ID	Gene Symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC	Top correlated gene
ENSG00000285848	ENSG00000285848	-2.27594639390699	8.8434216172685e-4	diabetic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0113164	anti_sense	Not conserved	NA	Mortality,-	ZDHHC7	VMP1
ENSG00000205622	ENSG00000205622	-2.11194656587085	0.0119061194877683	diabetic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0133091	integenic	Not conserved	NA	-	ERG	FOSL2
ENSG00000270640	ENSG00000270640	-4.56216090230722	2.71915335731751e-13	diabetic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0013867	intronic_sense	Q90	NA	-	FOSL2	CXCL2
ENSG00000198358	ENSG00000198358	4.3603396695032	0.0239583029638252	diabetic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0007881	anti_sense	Not conserved	hsa-miR-6089	Granulocyte count,-	LY9	LRP2
ENSG00000286458	ENSG00000286458	-1.74521920317704	0.0409546996414123	diabetic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0061527	anti_sense	Q75	hsa-miR-619-5p	-	CYREN	DENND10
ENSG00000276107	THBS1-IT1	-2.88647189995789	0.00755096263817174	diabetic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0105171	sense	Not conserved	NA	NA	THBS1	CDKN1A
ENSG00000203865	ATP1A1-AS1	-1.49899299422532	0.00898901825617268	diabetic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0006325	anti_sense	Q50	hsa-miR-1207-5p,hsa-miR-6891-5p	Leukocyte count; Myeloid white cell count,-,Leukocyte count	CD58	FOSB
ENSG00000272037	ENSG00000272037	-1.45971899384574	0.0136181312412299	diabetic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0067417	anti_sense	Not conserved	NA	-	ODF1	ZSWIM6
ENSG00000226957	ENSG00000226957	-1.75726803936508	0.032113721343436	diabetic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0003295	anti_sense	Q90	NA	Leukocyte count,-	MAST2	BRD4
ENSG00000287736	PTCSC1	-2.89616098880927	0.00679592726429922	diabetic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0068717	anti_sense,sense	Not conserved	NA	Eosinophil percentage of leukocytes	TG	C1orf162
