Ensembl Gene ID	Gene Symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC	Top correlated gene
ENSG00000255422	ENSG00000255422	-1.94863144555772	0.0326168066185547	Diabetic_LPS_vs_Control_Unstimulated	HSALNG0087571	anti_sense	Q90	NA	-	PHLDB1	ITGA3
ENSG00000225177	NHSL1-AS1	-2.63180167949264	0.0490709262778507	Diabetic_LPS_vs_Control_Unstimulated	HSALNG0053831	anti_sense	Q75	hsa-miR-345-5p,hsa-miR-1228-5p,hsa-miR-4534,hsa-miR-6816-5p	-	CCDC28A	TIMP2
ENSG00000264269	DYM-AS1	6.53137077447513	0.00550127472819474	Diabetic_LPS_vs_Control_Unstimulated	HSALNG0121468	anti_sense	Q50	hsa-miR-7107-5p,hsa-miR-7703	Apolipoprotein a 1 measurement,Bmi-adjusted hip circumference,Apolipoprotein a 1 measurement; High density lipoprotein cholesterol measurement; Total cholesterol measurement,Waist-hip ratio,-	CTIF	LAMA3
ENSG00000267263	ENSG00000267263	-2.01459574761023	0.00790793172239153	Diabetic_LPS_vs_Control_Unstimulated	HSALNG0118927	intronic_sense	Not conserved	hsa-miR-6769a-3p	NA	SEPTIN9	KMT2C
ENSG00000258122	ENSG00000258122	-3.40245313631335	0.043834775672528	Diabetic_LPS_vs_Control_Unstimulated	HSALNG0112125	anti_sense,sense	Q75	hsa-miR-5587-3p,hsa-miR-6875-5p	-	NAE1	TSPAN32
ENSG00000287485	ENSG00000287485	3.84580680519109	0.0381800045747297	Diabetic_LPS_vs_Control_Unstimulated	HSALNG0050410	integenic	Q75	NA	NA	TNFRSF21	TESK2
ENSG00000262580	ENSG00000262580	-1.1182045864411	0.00750054368222579	Diabetic_LPS_vs_Control_Unstimulated	HSALNG0119173	anti_sense	Q50	NA	Fasting blood glucose measurement,-,Psoriasis; Hirschsprung disease	SGSH	ATP2A3
ENSG00000258738	BAZ1A-AS1	1.23046754353928	0.0485751354434922	Diabetic_LPS_vs_Control_Unstimulated	HSALNG0100538	anti_sense	Q90	NA	Heel bone mineral density,Monocyte count,Reticulocyte measurement,-	SRP54	CYLD
ENSG00000233975	LINC02574	3.20757006145114	0.00620841453468978	Diabetic_LPS_vs_Control_Unstimulated	HSALNG0002009	integenic	Q50	hsa-miR-619-5p	Body weight,Systolic blood pressure; Pulse pressure measurement; Mean arterial pressure,Body mass index,-	IFI6	CHMP5
ENSG00000267364	ENSG00000267364	-1.54540961545592	0.012342311083674	Diabetic_LPS_vs_Control_Unstimulated	HSALNG0115934	integenic	Not conserved	hsa-miR-5008-3p,hsa-miR-6830-5p	Macrophage inflammatory protein 1b measurement	SLFN5	SIRPG
