Ensembl Gene ID	Gene Symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC	Top correlated gene
ENSG00000256196	ENSG00000256196	2.49577240983048	0.00199067841899886	diabetic_gastroparetics_vs_Control	HSALNG0084483	anti_sense	Q50	hsa-miR-3155b	Blood protein measurement,-	PRPF19	ZNF112
ENSG00000285848	ENSG00000285848	-2.67264106690839	1.9715889916338e-4	diabetic_gastroparetics_vs_Control	HSALNG0113164	anti_sense	Not conserved	NA	Mortality,-	ZDHHC7	VMP1
ENSG00000205622	ENSG00000205622	-2.13330745369472	0.00649349308564447	diabetic_gastroparetics_vs_Control	HSALNG0133091	integenic	Not conserved	NA	-	ERG	FOSL2
ENSG00000256947	ENSG00000256947	-2.29801729812438	0.0482033636097628	diabetic_gastroparetics_vs_Control	HSALNG0087299	anti_sense	Q50	hsa-miR-331-3p	Volumetric brain mri,-	C11orf71	SLC1A3
ENSG00000270640	ENSG00000270640	-5.14131583548519	2.63752348125738e-16	diabetic_gastroparetics_vs_Control	HSALNG0013867	intronic_sense	Q90	NA	-	FOSL2	CXCL2
ENSG00000198358	ENSG00000198358	5.51486399492624	0.00270072899863201	diabetic_gastroparetics_vs_Control	HSALNG0007881	anti_sense	Not conserved	hsa-miR-6089	Granulocyte count,-	LY9	LRP2
ENSG00000203392	ENSG00000203392	-1.33808721188483	0.0315763296183951	diabetic_gastroparetics_vs_Control	HSALNG0107312	anti_sense	Not conserved	NA	NA	SNX33	SLCO4A1
ENSG00000232057	ENSG00000232057	-2.3013080098639	0.00148521141313555	diabetic_gastroparetics_vs_Control	HSALNG0012496	anti_sense	Not conserved	hsa-miR-4722-5p,hsa-miR-6845-3p	Gut microbiome measurement,-	TPO	CSF3
ENSG00000288547	C3orf36	-2.52979750107863	0.0328479027511231	diabetic_gastroparetics_vs_Control	NA	NA	NA	NA	NA	SLCO2A1	IRX4
ENSG00000289852	ENSG00000289852	-2.94573014495583	8.73900809418406e-5	diabetic_gastroparetics_vs_Control	HSALNG0096744	integenic	Q50	NA	Dupuytren contracture; Chronic obstructive pulmonary disease,Heel bone mineral density,Body height,Peripheral arterial disease; Traffic air pollution measurement,Cortical thickness,-	SERP2	SGK1
