Ensembl Gene ID	Gene Symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC	Top correlated gene
ENSG00000285848	ENSG00000285848	-2.18249300720916	0.0357819830583862	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0113164	anti_sense	Not conserved	NA	Mortality,-	ZDHHC7	VMP1
ENSG00000205622	ENSG00000205622	-3.02236689995043	0.00401289391987669	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0133091	integenic	Not conserved	NA	-	ERG	FOSL2
ENSG00000270640	ENSG00000270640	-5.0894654254186404	4.95761650012339e-12	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0013867	intronic_sense	Q90	NA	-	FOSL2	CXCL2
ENSG00000203392	ENSG00000203392	-2.16686138791596	0.00915968445190072	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0107312	anti_sense	Not conserved	NA	NA	SNX33	SLCO4A1
ENSG00000289331	ENSG00000289331	-3.79340035185203	0.00843802609868564	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0148005	anti_sense,sense	Q90	hsa-miR-4467	-	BCL6	SLCO4A1
ENSG00000276107	THBS1-IT1	-5.91516758104031	6.13314356949814e-7	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0105171	sense	Not conserved	NA	NA	THBS1	CDKN1A
ENSG00000272037	ENSG00000272037	-2.12085628483872	0.0133036672953159	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0067417	anti_sense	Not conserved	NA	-	ODF1	ZSWIM6
ENSG00000289883	ENSG00000289883	-2.89034777473688	0.0232026635639802	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0084898	integenic	Not conserved	NA	Bmi-adjusted hip circumference	LTBP3	SKIL
ENSG00000256513	ENSG00000256513	-4.48234263473894	8.13022543895e-4	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0090076	integenic	Q75	NA	Essential tremor,Bone quantitative ultrasound measurement,Phosphatidylcholine 38:4 measurement,Bmi-adjusted waist circumference,Body height,Heel bone mineral density,Refractive error,Abnormality of refraction,Facial emotion recognition measurement,-	ERGIC2	PRKG2
ENSG00000269952	ENSG00000269952	-1.95160037002162	0.0239536976571535	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0077270	sense	Q50	NA	NA	CREM	NR4A2
ENSG00000230551	ENSG00000230551	-1.52167628712137	0.00831838475098291	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0045763	sense	Q90	NA	-	CSNK1A1	CHD1
ENSG00000287652	ENSG00000287652	-3.29186930622541	0.047683086560576	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0147362	anti_sense	Not conserved	hsa-miR-4691-5p	NA	CLDN5	TRIM63
ENSG00000251139	ENSG00000251139	-5.29283276425152	0.00304443239705641	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0039047	anti_sense	Not conserved	NA	Mean platelet volume,-	PRIMPOL	PIP
ENSG00000283122	HYMAI	-1.98490994231221	0.024236229876344	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0054049	sense	Q50	hsa-miR-4763-3p	Eosinophil count,Body mass index; Adult onset asthma,Testosterone measurement,Antisaccade response measurement,Resistin measurement,Monocyte count,Monocyte percentage of leukocytes,Fev/fec ratio; Response to bronchodilator,Parental genotype effect measurement; Peanut allergy measurement,-	PLAGL1	EIF4A1
ENSG00000237614	ENSG00000237614	-3.21719377958118	0.00648374062042455	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0018394	integenic	Q75	hsa-miR-4492,hsa-miR-4639-3p,hsa-miR-6775-3p	Age-related macular degeneration,Sex hormone-binding globulin measurement; Glomerular filtration rate; Serum gamma-glutamyl transferase measurement; Apolipoprotein b measurement; Low density lipoprotein cholesterol measurement; Total cholesterol measurement; Blood urea nitrogen measurement; Creatinine measurement; Uric acid measurement; Urate measurement,Total cholesterol measurement; Low density lipoprotein cholesterol measurement,Body height; Alkaline phosphatase measurement,C-reactive protein measurement,Triglyceride measurement; High density lipoprotein cholesterol measurement; Bmi-adjusted waist-hip ratio,Serum gamma-glutamyl transferase measurement; Urate measurement,Bmi-adjusted waist-hip ratio,Triglyceride measurement	TMEM185B	INHBB
ENSG00000227253	ENSG00000227253	-2.01305090633768	0.0199128418727581	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0077133	anti_sense	Q50	NA	Bmi-adjusted waist circumference; Bmi-adjusted waist-hip ratio; Waist-hip ratio,-	CCDC7	FZD5
ENSG00000258086	ENSG00000258086	-3.90854646703108	6.29238774751427e-8	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0091368	anti_sense	Q90	NA	-	COPZ1	FZD5
ENSG00000232759	STEAP1B-AS1	-2.81768383658038	0.028175767672906	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0056606	anti_sense	Q50	hsa-miR-892b,hsa-miR-4472,hsa-miR-4534	Atopic asthma,C-reactive protein measurement,Unipolar depression,-	IL6	TPM4
ENSG00000261618	LINC02605	-4.20830728979308	0.00502230030949664	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0150243	integenic	Not conserved	NA	Platelet-to-lymphocyte ratio; Lymphocyte count	ZC2HC1A	DELEC1
ENSG00000266970	SOCS3-DT	-3.12260806337709	0.0145432209077724	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0119032	integenic	Q50	hsa-miR-619-5p,hsa-miR-4472,hsa-miR-4639-3p,hsa-miR-6089,hsa-miR-6794-5p,hsa-miR-6803-5p	Creativity measurement,Heel bone mineral density,C-reactive protein measurement,-	PGS1	PLK3
ENSG00000259617	ENSG00000259617	-4.91736483448544	0.00777500867458284	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0105325	anti_sense	Q75	NA	-	CHAC1	THNSL1
ENSG00000290041	ENSG00000290041	-3.13832291590158	0.028175767672906	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0003215	anti_sense,sense	Q75	hsa-miR-619-5p	Soluble triggering receptor expressed on myeloid cells 2 measurement,Intraocular pressure measurement,-	BTBD19	DYNLT4
ENSG00000260317	LINC02986	1.10373586643777	0.0170113862410395	idiopathic_gastroparetics_vs_diabetic_non-gastroparetics	HSALNG0066510	integenic	Not conserved	NA	NA	ZBTB10	ZNF461
