Ensembl Gene ID	Gene Symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC	Top correlated gene
ENSG00000251003	ZFPM2-AS1	1.80926441587371	0.0455912118120825	T2D_vs_Control	HSALNG0067589	anti_sense	Q50	NA	-	ABRA	VIM
ENSG00000259351	ENSG00000259351	1.5476151447931	0.0497514674342459	T2D_vs_Control	HSALNG0106530	anti_sense	Q50	NA	-	SNX1	DAPK2
ENSG00000225756	DBH-AS1	1.53311960715423	0.030620539985026	T2D_vs_Control	HSALNG0141604	anti_sense	Not conserved	NA	Diastolic blood pressure; Cardiovascular disease; Mean arterial pressure; Systolic blood pressure; Calcium channel blocker use measurement,-	SARDH	TNK2
ENSG00000224387	ENSG00000224387	1.87359584263395	0.0237002519394904	T2D_vs_Control	HSALNG0000265	anti_sense	Not conserved	hsa-miR-6802-5p	NA	PANK4	KCNAB2
ENSG00000258498	DIO3OS	2.44968488357098	0.00370512486807503	T2D_vs_Control	HSALNG0103849	integenic	Not conserved	hsa-miR-4667-3p,hsa-miR-6728-3p,hsa-miR-6794-3p	Body height	HSP90AA1	FBLN1
ENSG00000225833	GS1-594A7.3	-1.84419135966367	0.0441392111187173	T2D_vs_Control	HSALNG0136782	anti_sense	Q75	NA	NA	BMX	ARG2
ENSG00000285538	ENSG00000285538	-2.01591521951746	2.1480497328508e-4	T2D_vs_Control	HSALNG0112843	integenic	Not conserved	NA	-	NUDT7	ARG2
ENSG00000226453	LINC02542	1.78662261063336	0.026499655895137902	T2D_vs_Control	HSALNG0051549	integenic	Not conserved	NA	Coronary artery disease,Central corneal thickness,Body height,Intraocular pressure measurement,Adolescent idiopathic scoliosis,Bell's palsy,Bone density; Heel bone mineral density,-	IBTK	FAM83D
ENSG00000285593	ENSG00000285593	1.02564684829607	0.0165825415418489	T2D_vs_Control	HSALNG0114177	integenic	Q75	hsa-miR-619-5p,hsa-miR-4286,hsa-miR-3689a-3p,hsa-miR-3689b-3p,hsa-miR-3689c,hsa-miR-5585-3p,hsa-miR-5787,hsa-miR-7843-3p	Cognitive decline measurement,Sorbitol measurement,Response to diisocyanate,Sex hormone-binding globulin measurement,-	AIPL1	CPE
ENSG00000259370	ENSG00000259370	2.86439871035666	0.0480516889727644	T2D_vs_Control	HSALNG0106441	anti_sense	Q50	hsa-miR-4492	Corneal endothelial cell measurement,Body weight,Cortical surface area measurement,Cleft lip; Cleft palate; Progranulin measurement,Intracranial volume measurement,Insulin sensitivity measurement; Response to polyunsaturated fatty acid supplementation,Cleft lip; Cleft palate,-	RPS27L	TCIRG1
ENSG00000226017	PRICKLE2-AS3	1.33584080355874	0.00956241069760127	T2D_vs_Control	HSALNG0026567	anti_sense	Q50	NA	Serum igg glycosylation measurement	ATXN7	ATP5F1B
ENSG00000228536	LYPLAL1-AS1	2.65056313253794	0.030620539985026	T2D_vs_Control	HSALNG0010664	integenic	Q50	hsa-miR-4492,hsa-miR-8485	Bmi-adjusted waist-hip ratio,Bmi-adjusted waist circumference,Bmi-adjusted hip circumference,Heel bone mineral density,Triglyceride measurement; Bmi-adjusted waist circumference,Protein measurement,Bmi-adjusted waist circumference; Bmi-adjusted hip circumference; Bmi-adjusted waist-hip ratio,Lean body mass,Appendicular lean mass,Bmi-adjusted hip circumference; Bmi-adjusted waist-hip ratio,Serum alanine aminotransferase measurement; Sex hormone-binding globulin measurement; Low density lipoprotein triglyceride measurement; Body fat percentage; High density lipoprotein cholesterol measurement; Triglyceride measurement; Aspartate aminotransferase measurement,Body mass index,Visceral:subcutaneous adipose tissue ratio; Body mass index,Body height,Body weight,Reticulocyte measurement; Bmi-adjusted hip circumference,Insulin measurement,Pulse pressure measurement; Obesity; Osteoarthritis, hip, osteoarthritis, knee, total joint arthroplasty,Visceral:subcutaneous adipose tissue ratio,Osteoarthritis, hip; Body mass index; Physical activity measurement; Bmi-adjusted waist-hip ratio; Fasting blood insulin measurement; Osteoarthritis, hip, osteoarthritis, knee,Waist-hip ratio,Hip circumference; Bmi-adjusted hip circumference; Bmi-adjusted waist-hip ratio,Triglyceride measurement; Reticulocyte measurement; Bmi-adjusted hip circumference; Reticulocyte count,Red blood cell density measurement; Hemorrhoid; Erythrocyte count,Sex interaction measurement; Age at assessment; Bmi-adjusted waist-hip ratio,Nose morphology measurement,Bmi-adjusted waist-hip ratio; Physical activity measurement,Waist-hip ratio; Bmi-adjusted waist-hip ratio,Serum alanine aminotransferase measurement,High density lipoprotein cholesterol measurement,Open-angle glaucoma,Smoking behavior; Bmi-adjusted waist-hip ratio,Triglyceride measurement; High density lipoprotein cholesterol measurement,Adiponectin measurement,Apolipoprotein a 1 measurement,Body fat percentage; Bmi-adjusted hip circumference,Total blood protein measurement; High density lipoprotein cholesterol measurement,Astigmatism,Bmi-adjusted waist circumference; Drugs used in diabetes use measurement; Bmi-adjusted hip circumference,Bmi-adjusted waist circumference; Bmi-adjusted waist-hip ratio,Waist-hip ratio; Bmi-adjusted waist-hip ratio; Physical activity measurement,Bmi-adjusted waist circumference; Appendicular lean mass,Varicose veins; Inguinal hernia,Acne; Bmi-adjusted hip circumference,Serum gamma-glutamyl transferase measurement,Bmi-adjusted waist circumference; Total cholesterol measurement; Low density lipoprotein cholesterol measurement; High density lipoprotein cholesterol measurement; Bmi-adjusted waist-hip ratio; Triglyceride measurement,Body mass index; Adiponectin measurement; Fasting blood insulin measurement,Systolic blood pressure,Sex hormone-binding globulin measurement; Adiponectin measurement,-	ZC3H11B	AADAC
ENSG00000231943	PGM5P4-AS1	1.37949117434086	0.0488364037741889	T2D_vs_Control	HSALNG0018066	integenic	Not conserved	hsa-miR-8485	Ovarian carcinoma	SLC35F5	ID2
ENSG00000251095	ENSG00000251095	1.22245557486403	0.00270819553489021	T2D_vs_Control	HSALNG0035787	anti_sense	Q50	hsa-miR-619-5p,hsa-miR-3187-3p,hsa-miR-6089	Body height,Lymphocyte count,Leukocyte count,Calcium measurement,Dna methylation,Stromal cell-derived factor 1 alpha measurement,Response to bupropion,Idiopathic pulmonary fibrosis,Insomnia measurement,Age at onset,Trans fatty acid measurement; Trans/cis-18:2 fatty acid measurement,Response to trauma exposure; Post-traumatic stress disorder symptom measurement,-	MMRN1	NPY
ENSG00000284653	ENSG00000284653	5.67282545987295	1.33110833397676e-11	T2D_vs_Control	HSALNG0001300	integenic	Q50	hsa-miR-6763-5p,hsa-miR-6813-5p	Hippocampal volume,-	IGSF21	FAIM2
ENSG00000260086	ENSG00000260086	-1.39501747264527	0.00488887092949774	T2D_vs_Control	HSALNG0111257	integenic	Not conserved	NA	NA	LONP2	NTPCR
ENSG00000225126	CAMTA1-AS1	2.33473587117219	0.00927375110295046	T2D_vs_Control	HSALNG0000562	anti_sense	Q50	hsa-miR-4257,hsa-miR-3620-5p,hsa-miR-4505,hsa-miR-1587,hsa-miR-5006-3p	-	UTS2	ALDOB
ENSG00000265179	ENSG00000265179	-1.05878145588355	0.00964573894852857	T2D_vs_Control	HSALNG0119592	anti_sense	Q90	hsa-miR-4281,hsa-miR-6503-3p	High density lipoprotein cholesterol measurement,-	YES1	ADCYAP1
ENSG00000286313	ENSG00000286313	1.77707928487903	0.0104820446514718	T2D_vs_Control	HSALNG0053689	anti_sense	Q50	hsa-miR-185-3p,hsa-miR-5572,hsa-miR-6763-5p	Hemoglobin measurement,Red blood cell distribution width,Erythrocyte count,Body height; Heel bone mineral density,Heel bone mineral density; Blood phosphate measurement,Heel bone mineral density,Age at menarche,Blood phosphate measurement,Alcoholic liver cirrhosis,Calcium measurement,Facial morphology measurement,Brcax breast cancer,Sphingomyelin 22:0 measurement,Aspartate aminotransferase measurement,Adolescent idiopathic scoliosis,Open-angle glaucoma,Glaucoma; Open-angle glaucoma; Intraocular pressure measurement,Intraocular pressure measurement,Diverticulitis,Response to corticosteroid; Response to synacthen; Cortisol measurement,Bipolar disorder; Body mass index,-	MTFR2	COL6A2
ENSG00000177337	DLGAP1-AS1	1.31467122308886	0.0174856794554817	T2D_vs_Control	HSALNG0119714	anti_sense	Q75	hsa-miR-619-5p,hsa-miR-4481,hsa-miR-4505,hsa-miR-1587,hsa-miR-6089,hsa-miR-7111-5p,hsa-miR-7150	Mean corpuscular volume,Mean reticulocyte volume,Blood urea nitrogen measurement; Serum urea measurement,Fat body mass,Mean reticulocyte volume; Mean corpuscular volume,Lip morphology measurement,Alanine measurement; Amino acid measurement,-	TGIF1	HNMT
ENSG00000250266	LINC01612	-1.06553730851218	0.00758854454210343	T2D_vs_Control	HSALNG0038513	integenic	Q50	hsa-miR-8485	Hypermetropia,Adolescent idiopathic scoliosis,Gut microbiome measurement,Protein measurement,Somatic sensory dysfunction,Stromal cell-derived factor 1 alpha measurement,-	CLCN3	G6PC2
ENSG00000286693	ENSG00000286693	-1.34278021359506	1.805279926411e-4	T2D_vs_Control	HSALNG0064514	anti_sense	Q75	NA	Covid-19; Pneumonia,-	DUSP26	UNC5D
ENSG00000247809	NR2F2-AS1	1.87450609818295	0.00328552446737087	T2D_vs_Control	HSALNG0108400	integenic	Not conserved	hsa-miR-619-5p	NA	PGPEP1L	MXRA8
ENSG00000274244	ENSG00000274244	-3.16178972695585	0.0208609871432722	T2D_vs_Control	HSALNG0116119	anti_sense	Q75	hsa-miR-515-3p,hsa-miR-1204,hsa-miR-1294,hsa-miR-4755-3p	Macrophage inflammatory protein 1b measurement,Mental or behavioural disorder,C-reactive protein measurement,Blood urea nitrogen measurement; Prostate carcinoma,Serum urea measurement,-	DUSP14	OR10A3
ENSG00000255829	ENSG00000255829	-1.53989923117512	6.11394057890151e-5	T2D_vs_Control	HSALNG0089084	integenic	Not conserved	NA	-	RIMKLB	EDARADD
ENSG00000273972	ENSG00000273972	1.95695808221767	0.0490356260014601	T2D_vs_Control	HSALNG0105662	integenic	Not conserved	NA	-	SQOR	CYP4F3
